counter,timestamp,data_type,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
11,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,0.956049978733,89218.8203125,0.000579999993,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.087190032005,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1765106504016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89218.8,89218.8,89218.8,89218.8,6e-05,0.0,1.0
14,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.222339987755,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.210989952087,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.210989952087,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.210989952087,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1765106505018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89218.81,89218.81,89218.81,89218.81,0.00042,37.4719002,1.0
23,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0.0,89218.796875,3.534399986267,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.21056997776,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.359459996223,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.360090017319,89218.8203125,0.000520000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0.0,89218.796875,3.556519985199,89218.7890625,0.016160000116,89218.75,5.9999998e-05,89218.59375,0.000500000024,89218.453125,5.9999998e-05,89218.8125,1.360090017319,89218.8203125,0.00046000001,89218.859375,5.9999998e-05,89219.15625,5.9999998e-05,89219.609375,5.9999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
